institution_code,catalog_number,recorded_by,year,month,decimal_latitude,decimal_longitude,location,species,generic_name,specific_name,day,.val,.equ,.zer,.cap,.cen,.sea,.otl,.gbf,.inst,.summary
NZAC,NZAC04273367,JS Dugdale,1981,11,-35.478652,174.742441,"Poor Knights Islands, Aorangi Island, forest behind landing",Anagotus turbotti,Anagotus,turbotti,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273308,JC Watt,1981,11,-35.478652,174.742441,"Poor Knights Islands, Aorangi Island",Anagotus turbotti,Anagotus,turbotti,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273248,JC Watt,1981,11,-35.478652,174.742441,"Poor Knights Islands, Aorangi Island",Anagotus turbotti,Anagotus,turbotti,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04273188,JC Watt,1981,11,-35.478652,174.742441,"Poor Knights Islands, Aorangi Island",Anagotus turbotti,Anagotus,turbotti,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04162160,CF Butcher,1980,12,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi Island",Anagotus turbotti,Anagotus,turbotti,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278328,J McBurney,1969,2,-47.23777,167.40752,Big South Cape,Anagotus species_j,Anagotus,species_j,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278334,ES Gourlay,1933,1,-40.67069,173.9983,Stephens Island,Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278339,JC Watt,1980,9,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278340,JC Watt,1980,9,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278341,JC Watt,1980,9,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278342,JC Watt,1980,9,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278343,JC Watt,1980,9,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278344,D Court,1980,9,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278345,G Kuschel,1980,12,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
