Repository,NZAC_Accession_Number,Specimen_Kind,Quantity,Order,Family,Collection_Name,Taxon_Name,Taxon_Note,NEIL_manuscript_name,Determiner,Determination_Date,Determination_Note,Type_Status,Country,New_Zealand_Area_Code,Locality,NEIL_guess_location,NEIL_guess_coordinates,NEIL_check_w_Rich,Altitude ,Day,Month,Year,2nd date,Collectors,Collector_No,Method,Habitat,Microhabitat,Collection_Event_Note,Verbatim_Geocoordinates ,Sex,Stages,copy to WORD,NEIL_Determination_INFO,NEIL_Drawer_INFO,Neil_Specimen_Note,Neil_Other
NZAC,NZAC04212553,Pinned,1,Coleoptera,Curculionidae,,"Anagotus fairburni Brookes, 1932",,,,,,,New Zealand,TH,"Three Kings Islands, Southwest Island","Three Kings Islands, Southwest Island","-34.17604, 172.07208",,,11,12,1963,,P Johns,,At night,,Phormium,,,,Adult,,,,,
NZAC,NZAC04212542,Pinned,1,Coleoptera,Curculionidae,,"Anagotus fairburni Brookes, 1932",,,,,,,New Zealand,TH,"Three Kings Islands, Southwest Island","Three Kings Islands, Southwest Island","-34.17604, 172.07208",,,11,12,1963,,P Johns,,At night,,Phormium,,,,Adult,,,,,
NZAC,NZAC04212541,Pinned,1,Coleoptera,Curculionidae,,"Anagotus rugosus Broun, 1883",,,,,,,New Zealand,TH,"Three Kings Islands, Southwest Island","Three Kings Islands, Southwest Island","-34.17604, 172.07208",,,11,12,1963,,P Johns,,At night,,Phormium,,,,Adult,,,,,
NZAC,NZAC04212540,Pinned,1,Coleoptera,Curculionidae,,"Anagotus rugosus Broun, 1883",,,,,,,New Zealand,TK,Dawson Falls,"Taranaki, Dawson Falls","-39.325445, 174.110126",,,17,12,1963,,RM Bull,,,,,,,,Adult,,,,RM Bull Collection,
NZAC,NZAC04239228,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_a,asper n.sp,G Kuschel,1981,,,New Zealand,WN,"Tararua Range, West Peak","Tararua Range, West Peak","-40.695682, 175.485992",,"4,700'",28,12,1964,,RM Bull,,,,,,,,Adult,,Anagotus asper n. sp,"asper n.sp. K'81 //host: unknown, prob. // Carex",RM Bull Collection,
NZAC,NZAC04239258,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_a,asper n.sp,,,,,New Zealand,WN,"Tararua Range, West Peak","Tararua Range, West Peak","-40.695682, 175.485992",,"4,700'",28,12,1964,,RM Bull,,,,,,,,Adult,,,"asper n.sp. K'81 //host: unknown, prob. // Carex",RM Bull Collection,
NZAC,NZAC04239288,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_a,asper n.sp,,,,,New Zealand,WN,"Tararua Range, West Peak","Tararua Range, West Peak","-40.695682, 175.485992",,"4,700'",28,12,1964,,RM Bull,,,,,,,,Adult,,,"asper n.sp. K'81 //host: unknown, prob. // Carex",RM Bull Collection,
NZAC,NZAC04239318,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_a,asper n.sp,,,,,New Zealand,WN,"Tararua Range, West Peak","Tararua Range, West Peak","-40.695682, 175.485992",,"4,700'",28,12,1964,,RM Bull,,,,,,,,Adult,,,"asper n.sp. K'81 //host: unknown, prob. // Carex",RM Bull Collection,
NZAC,NZAC04239348,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_a,asper n.sp,,,,,New Zealand,WN,"Tararua Range, West Peak","Tararua Range, West Peak","-40.695682, 175.485992",,"4,700'",28,12,1964,,RM Bull,,,,,,,,Adult,,,"asper n.sp. K'81 //host: unknown, prob. // Carex",RM Bull Collection,
NZAC,NZAC04239378,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_a,asper n.sp,G Kuschel,1962,,,New Zealand,WN,Tararua Range,Tararua Range,"-41.01184, 175.292873",,,,,1921,,,,,,,,,,Adult,,asper n.sp.,"asper n.sp. K'81 //host: unknown, prob. // Carex",,"Label: ""Figured""; Location: Auaroh?; Initials possibly HN"
NZAC,NZAC04239408,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_a,asper n.sp,,,,,New Zealand,WN,"Tararua Range, Mount Hector","Tararua Range, Mount Hector","-40.95169, 175.28157",,,,2,1948,,GW Gibbs,,,,,,,,Adult,,,"asper n.sp. K'81 //host: unknown, prob. // Carex",,
NZAC,NZAC04239498,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_a,asper n.sp,,,,,New Zealand,WN,Mount Hector,"Tararua Range, Mount Hector","-40.95169, 175.28157",,4800',26,12,1910,,,,,,,,,,Adult,,,"asper n.sp. K'81 //host: unknown, prob. // Carex",,
NZAC,NZAC04239468,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_a,asper n.sp,,,,,New Zealand,WN,"Tararua Range, West Peak","Tararua Range, West Peak","-40.695682, 175.485992",,"4,700'",28,12,1964,,RM Bull,,,,,,,,Adult,,,"asper n.sp. K'81 //host: unknown, prob. // Carex",RM Bull Collection,
NZAC,NZAC04239438,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_b,australis n.sp,,,,,New Zealand,FD,"Preservation Inlet, Puysegur Point",,"-46.155228, 166.614017",,,,10,1966,,Sabrina Walters,,,,Oleria augustifolia,,,,Adult,,,"australis n.sp. K'81 //host: unknown, prob.// Dracophyllum",,Food plant details Botany Dept. Auck. Mus.
NZAC,NZAC04239499,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_b,australis n.sp,,,,,New Zealand,FD,"Invercargill, Puysegur Point Lighthouse",,"-46.155228, 166.614017",,,,10,1966,,EM Connell,,,,On daisywood scrub,,,,Adult,,,"australis n.sp. K'81 //host: unknown, prob.// Dracophyllum",Canterbury Museum Collection,Leaf attached
