Accession number ,Genus,Species,Subspecies,Author,Collector,Collection date 1,Collection date 2,Collection method,Habitat,Label,Location,Region Code,Latitude (dd.ddddd),Longitude (dd.ddddd),Altitude (metres),Label map reference,Determiner,Date determined,Type status,Sex,Remark
LUNZ00013434,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013435,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013436,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013437,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013438,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013439,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013440,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013442,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013443,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013444,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013445,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013446,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013447,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
LUNZ00013448,Anagotus,fairburni,,"(Brookes, 1932)","C. Miskelly, D. Shirtliff",23-Oct-17,,,On Phormium on plateau at South-west of island,,Mana Island,WN,-41.0926,174.772,,,,,,,
