Institution,Barcode,Broun/label Number,Altitude,Location,NEIL_guess_coordinates,collection date,clean_date,year,Collector,Determinor,Determination,Accession Label,Taxa,Drawer Information,Type,Notes,neil_guess_accepted_name
NHMUK,NHMUK016119874,2910,,Mount Ida -,"-44.931023, 170.086899",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Pparchus Lewisi -,,"red circle ""Type""",,Anagotus lewisi
NHMUK,NHMUK016119875,,5000,"Mt. Peel, Nelson.","-41.13853, 172.5916",15.2.31,15/02/1931,1931,E.S. Gourlay,,,Pres by // Com Inst Ent // B M 195/-260,"Pparchus carinirostris, Mshl.",,"red circle ""Type""",Female,Anagotus carinirostris
NHMUK,NHMUK016119876,3135,,Mount Quoin. Wellington.,"-41.000507, 175.242598",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phaedropholus O'connori,,,,Anagotus oconnori
NHMUK,NHMUK016119877,3135,,Mount Quoin. Wellington.,"-41.000507, 175.242598",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,,Anagotus oconnori
NHMUK,NHMUK016119878,3135,,,,,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,,Anagotus oconnori
NHMUK,NHMUK016119879,1513,,Maungatua,"-45.880598, 170.112047",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phoxotelus graniger. ,,"red circle ""Type""",in box spelt as 'Phoxoteles',Anagotus graniger
NHMUK,NHMUK016119880,,,Habitat unknown.,,,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Phoxotelus sp. ,,,,Anagotus graniger
NHMUK,NHMUK016119881,2147,,Boatman's Reefton.,"-42.04356, 171.89511",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Anagotus Heteraomus longipes -,,lecto-type,,Anagotus helmsi
NHMUK,NHMUK016119882,2147,,,,,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,Anagotus Heteraomus longipes -,,,Anagotus helmsi
NHMUK,NHMUK016119883,2144,,Akatarawa,"-41.050206, 175.118058",Feby.1908.,Feb-08,1908,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,anagotus Hehmsi. Sharp. ,,,Compared with type. G.J.A.,Anagotus helmsi
NHMUK,NHMUK016119884,2144.x.,,Mt. Dundas.,"-40.725, 175.44783",Jany.1911,Jan-11,1911,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,,Anagotus helmsi
NHMUK,NHMUK016119885,2907,,Te Oneroa.,"-46.122392, 166.673412",,,,.Seymour.,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Anagotus pallescens.,,"red circle ""Type""",Believe to be Te Oneroa in Fiordland based on this information: https://farmarfamilies.com/p2403.htm,Anagotus helmsi
NHMUK,NHMUK016119886,3290,5000 ft.,Vanguard peak.,"-44.854013, 168.744593",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Heteromias Loveirostris,,"red circle ""Type""",Genetalia disected in small tube ,Anagotus helmsi
NHMUK,NHMUK016119887,3759,,Ben Lomond.,"-45.00864, 168.61428",1.12.1912.,1/12/1912,1912,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,mecosargon costipennis,,"red circle ""Type""",,Anagotus costipennis
NHMUK,NHMUK016119888,3759,4000,Dicks (to check),"-45.263213, 168.682923",17.3.14. ,17/03/1914,1914,Illegible,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,,Anagotus costipennis
